timestamp,open,high,low,close,volume
2011-12-13,26.1100,26.1100,26.1100,26.1100,0
2011-12-12,26.1100,26.1100,26.1100,26.1100,0
2011-12-09,26.1100,26.1100,26.1100,26.1100,0
2011-12-08,36.0000,36.0000,36.0000,36.0000,0
2011-12-07,26.1100,26.1100,26.1100,26.1100,0
2011-12-06,26.1100,26.1100,26.1100,26.1100,0
2011-12-05,26.1100,26.1100,26.1100,26.1100,0
2011-12-02,36.0000,36.0000,36.0000,36.0000,0
2011-12-01,36.0000,36.0000,36.0000,36.0000,0
2011-11-30,26.1100,26.1100,26.1100,26.1100,0
2011-11-29,26.1100,26.1100,26.1100,26.1100,0
2011-11-28,26.1100,26.1100,26.1100,26.1100,0
2011-11-25,26.1100,26.1100,26.1100,26.1100,0
2011-11-23,36.0000,36.0000,36.0000,36.0000,0
2011-11-22,26.1100,26.1100,26.1100,26.1100,0
2011-11-21,26.1100,26.1100,26.1100,26.1100,0
2011-11-18,26.1100,26.1100,26.1100,26.1100,0
2011-11-17,36.0000,36.0000,36.0000,36.0000,0
2011-11-16,26.1100,26.1100,26.1100,26.1100,0
2011-11-15,36.0000,36.0000,36.0000,36.0000,0
2011-11-14,36.0000,36.0000,36.0000,36.0000,0
2011-11-11,36.0000,36.0000,36.0000,36.0000,0
2011-11-10,36.0000,36.0000,36.0000,36.0000,0
2011-11-09,36.0000,36.0000,36.0000,36.0000,0
2011-11-08,26.1100,26.1100,26.1100,26.1100,0
2011-11-07,26.1100,26.1100,26.1100,26.1100,0
2011-11-04,26.1100,26.1100,26.1100,26.1100,0
2011-11-03,26.1100,26.1100,26.1100,26.1100,0
2011-11-02,36.0000,36.0000,36.0000,36.0000,0
2011-11-01,26.1100,26.1100,26.1100,26.1100,0
2011-10-31,36.0000,36.0000,36.0000,36.0000,0
2011-10-28,26.1100,26.1100,26.1100,26.1100,0
2011-10-27,36.0000,36.0000,36.0000,36.0000,0
2011-10-26,36.0000,36.0000,36.0000,36.0000,0
2011-10-25,26.1100,26.1100,26.1100,26.1100,0
2011-10-24,36.0000,36.0000,36.0000,36.0000,0
2011-10-21,26.1100,26.1100,26.1100,26.1100,0
2011-10-20,26.1100,26.1100,26.1100,26.1100,0
2011-10-19,26.1100,26.1100,26.1100,26.1100,0
2011-10-18,36.0000,36.0000,36.0000,36.0000,0
2011-10-17,26.1100,26.1100,26.1100,26.1100,0
2011-10-14,36.0000,36.0000,36.0000,36.0000,0
2011-10-13,36.0000,36.0000,36.0000,36.0000,0
2011-10-12,26.1100,26.1100,26.1100,26.1100,0
2011-10-11,26.1100,26.1100,26.1100,26.1100,0
2011-10-10,26.1100,26.1100,26.1100,26.1100,0
2011-10-07,26.1100,26.1100,26.1100,26.1100,0
2011-10-06,26.1100,26.1100,26.1100,26.1100,0
2011-10-05,26.1100,26.1100,26.1100,26.1100,0
2011-10-04,36.0000,36.0000,36.0000,36.0000,0
2011-10-03,26.1100,26.1100,26.1100,26.1100,0
2011-09-30,36.0000,36.0000,36.0000,36.0000,0
2011-09-29,26.1100,26.1100,26.1100,26.1100,0
2011-09-28,36.0000,36.0000,36.0000,36.0000,0
2011-09-27,36.0000,36.0000,36.0000,36.0000,0
2011-09-26,26.1100,26.1100,26.1100,26.1100,0
2011-09-23,36.0000,36.0000,36.0000,36.0000,0
2011-09-22,36.0000,36.0000,36.0000,36.0000,0
2011-09-21,26.1100,26.1100,26.1100,26.1100,0
2011-09-20,26.1100,26.1100,26.1100,26.1100,0
2011-09-19,26.1100,26.1100,26.1100,26.1100,0
2011-09-16,26.1100,26.1100,26.1100,26.1100,0
2011-09-15,26.1100,26.1100,26.1100,26.1100,0
2011-09-14,36.0000,36.0000,36.0000,36.0000,0
2011-09-13,26.1100,26.1100,26.1100,26.1100,0
2011-09-12,26.1100,26.1100,26.1100,26.1100,0
2011-09-09,36.0000,36.0000,36.0000,36.0000,0
2011-09-08,26.1100,26.1100,26.1100,26.1100,0
2011-09-07,26.1100,26.1100,26.1100,26.1100,0
2011-09-06,26.1100,26.1100,26.1100,26.1100,0
2011-09-02,36.0000,36.0000,36.0000,36.0000,0
2011-09-01,26.1100,26.1100,26.1100,26.1100,0
2011-08-31,36.0000,36.0000,36.0000,36.0000,0
2011-08-30,36.0000,36.0000,36.0000,36.0000,0
2011-08-29,26.1100,26.1100,26.1100,26.1100,0
2011-08-26,26.1100,26.1100,26.1100,26.1100,0
2011-08-25,36.0000,36.0000,36.0000,36.0000,0
2011-08-24,36.0000,36.0000,36.0000,36.0000,0
2011-08-23,36.0000,36.0000,36.0000,36.0000,0
2011-08-22,36.0000,36.0000,36.0000,36.0000,0
2011-08-19,26.1100,26.1100,26.1100,26.1100,0
2011-08-18,26.1100,26.1100,26.1100,26.1100,0
2011-08-17,26.1100,26.1100,26.1100,26.1100,0
2011-08-16,36.0000,36.0000,36.0000,36.0000,0
2011-08-15,26.1100,26.1100,26.1100,26.1100,0
2011-08-12,36.0000,36.0000,36.0000,36.0000,0
2011-08-11,36.0000,36.0000,36.0000,36.0000,0
2011-08-10,36.0000,36.0000,36.0000,36.0000,0
2011-08-09,36.0000,36.0000,36.0000,36.0000,0
2011-08-08,36.0000,36.0000,36.0000,36.0000,0
2011-08-05,36.0000,36.0000,36.0000,36.0000,0
2011-08-04,26.1100,26.1100,26.1100,26.1100,0
2011-08-03,26.1100,26.1100,26.1100,26.1100,0
2011-08-02,36.0000,36.0000,36.0000,36.0000,0
2011-08-01,26.1100,26.1100,26.1100,26.1100,0
2011-07-29,36.0000,36.0000,36.0000,36.0000,0
2011-07-28,26.1100,26.1100,26.1100,26.1100,0
2011-07-27,36.0000,36.0000,36.0000,36.0000,0
2011-07-26,26.1100,26.1100,26.1100,26.1100,0
2011-07-25,36.0000,36.0000,36.0000,36.0000,0
2011-07-22,36.0000,36.0000,36.0000,36.0000,0
2011-07-21,36.0000,36.0000,36.0000,36.0000,0
2011-07-20,26.1100,26.1100,26.1100,26.1100,0
2011-07-19,26.1100,26.1100,26.1100,26.1100,0
2011-07-18,36.0000,36.0000,36.0000,36.0000,0
2011-07-15,36.0000,36.0000,36.0000,36.0000,0
2011-07-14,36.0000,36.0000,36.0000,36.0000,0
2011-07-13,26.1100,26.1100,26.1100,26.1100,0
2011-07-12,26.1100,26.1100,26.1100,26.1100,0
2011-07-11,36.0000,36.0000,36.0000,36.0000,0
2011-07-08,26.1100,26.1100,26.1100,26.1100,0
2011-07-07,26.1100,26.1100,26.1100,26.1100,0
2011-07-06,36.0000,36.0000,36.0000,36.0000,0
2011-07-05,26.1100,26.1100,26.1100,26.1100,0
2011-07-01,36.0000,36.0000,36.0000,36.0000,0
2011-06-30,36.0000,36.0000,36.0000,36.0000,0
2011-06-29,26.1100,26.1100,26.1100,26.1100,0
2011-06-28,26.1100,26.1100,26.1100,26.1100,0
2011-06-27,26.1100,26.1100,26.1100,26.1100,0
2011-06-24,26.1100,26.1100,26.1100,26.1100,0
2011-06-23,36.0000,36.0000,36.0000,36.0000,0
2011-06-22,36.0000,36.0000,36.0000,36.0000,0
2011-06-21,26.1100,26.1100,26.1100,26.1100,0
2011-06-20,26.1100,26.1100,26.1100,26.1100,0
2011-06-17,36.0000,36.0000,36.0000,36.0000,0
2011-06-16,26.1100,26.1100,26.1100,26.1100,0
2011-06-15,26.1100,26.1100,26.1100,26.1100,0
2011-06-14,26.1100,26.1100,26.1100,26.1100,0
2011-06-13,26.1100,26.1100,26.1100,26.1100,0
2011-06-10,26.1100,26.1100,26.1100,26.1100,0
2011-06-09,36.0000,36.0000,36.0000,36.0000,0
2011-06-08,36.0000,36.0000,36.0000,36.0000,0
2011-06-07,36.0000,36.0000,36.0000,36.0000,0
2011-06-06,26.1100,26.1100,26.1100,26.1100,0
2011-06-03,36.0000,36.0000,36.0000,36.0000,0
2011-06-02,26.1100,26.1100,26.1100,26.1100,0
2011-06-01,26.1100,26.1100,26.1100,26.1100,0
2011-05-31,36.0000,36.0000,36.0000,36.0000,0
2011-05-27,26.1100,26.1100,26.1100,26.1100,0
2011-05-26,36.0000,36.0000,36.0000,36.0000,0
2011-05-25,36.0000,36.0000,36.0000,36.0000,0
2011-05-24,26.1100,26.1100,26.1100,26.1100,0
2011-05-23,26.1100,26.1100,26.1100,26.1100,0
2011-05-20,26.1100,26.1100,26.1100,26.1100,0
2011-05-19,26.1100,26.1100,26.1100,26.1100,0
2011-05-18,26.1100,26.1100,26.1100,26.1100,0
2011-05-17,36.0000,36.0000,36.0000,36.0000,0
2011-05-16,36.0000,36.0000,36.0000,36.0000,0
2011-05-13,36.0000,36.0000,36.0000,36.0000,0
2011-05-12,36.0000,36.0000,36.0000,36.0000,0
2011-05-11,26.1100,26.1100,26.1100,26.1100,0
2011-05-10,36.0000,36.0000,36.0000,36.0000,0
2011-05-09,26.1100,26.1100,26.1100,26.1100,0
2011-05-06,26.1100,26.1100,26.1100,26.1100,0
2011-05-05,26.1100,26.1100,26.1100,26.1100,0
2011-05-04,26.1100,26.1100,26.1100,26.1100,0
2011-05-03,26.1100,26.1100,26.1100,26.1100,0
2011-05-02,36.0000,36.0000,36.0000,36.0000,0
2011-04-29,26.1100,26.1100,26.1100,26.1100,0
2011-04-28,26.1100,26.1100,26.1100,26.1100,0
2011-04-27,26.1100,26.1100,26.1100,26.1100,0
2011-04-26,26.1100,26.1100,26.1100,26.1100,0
2011-04-25,36.0000,36.0000,36.0000,36.0000,0
2011-04-21,36.0000,36.0000,36.0000,36.0000,0
2011-04-20,36.0000,36.0000,36.0000,36.0000,0
2011-04-19,26.1100,26.1100,26.1100,26.1100,0
2011-04-18,26.1100,26.1100,26.1100,26.1100,0
2011-04-15,26.1100,26.1100,26.1100,26.1100,0
2011-04-14,36.0000,36.0000,36.0000,36.0000,0
2011-04-13,36.0000,36.0000,36.0000,36.0000,0
2011-04-12,36.0000,36.0000,36.0000,36.0000,0
2011-04-11,36.0000,36.0000,36.0000,36.0000,0
2011-04-08,26.1100,26.1100,26.1100,26.1100,0
2011-04-07,36.0000,36.0000,36.0000,36.0000,0
2011-04-06,36.0000,36.0000,36.0000,36.0000,0
2011-04-05,26.1100,26.1100,26.1100,26.1100,0
2011-04-04,36.0000,36.0000,36.0000,36.0000,0
2011-04-01,26.1100,26.1100,26.1100,26.1100,0
2011-03-31,36.0000,36.0000,36.0000,36.0000,0
2011-03-30,36.0000,36.0000,36.0000,36.0000,0
2011-03-29,36.0000,36.0000,36.0000,36.0000,0
2011-03-28,26.1100,26.1100,26.1100,26.1100,0
2011-03-25,26.1100,26.1100,26.1100,26.1100,0
2011-03-24,26.1100,26.1100,26.1100,26.1100,0
2011-03-23,26.1100,26.1100,26.1100,26.1100,0
2011-03-22,26.1100,26.1100,26.1100,26.1100,0
2011-03-21,36.0000,36.0000,36.0000,36.0000,0
2011-03-18,26.1100,26.1100,26.1100,26.1100,0
2011-03-17,36.0000,36.0000,36.0000,36.0000,0
2011-03-16,26.1100,26.1100,26.1100,26.1100,0
2011-03-15,36.0000,36.0000,36.0000,36.0000,0
2011-03-14,26.1100,26.1100,26.1100,26.1100,0
2011-03-11,26.1100,26.1100,26.1100,26.1100,0
2011-03-10,36.0000,36.0000,36.0000,36.0000,0
2011-03-09,36.0000,36.0000,36.0000,36.0000,0
2011-03-08,36.0000,36.0000,36.0000,36.0000,0
2011-03-07,26.1100,26.1100,26.1100,26.1100,0
2011-03-04,26.1100,26.1100,26.1100,26.1100,0
2011-03-03,26.1100,26.1100,26.1100,26.1100,0
2011-03-02,36.0000,36.0000,36.0000,36.0000,0
2011-03-01,36.0000,36.0000,36.0000,36.0000,0
2011-02-28,26.1100,26.1100,26.1100,26.1100,0
2011-02-25,26.1100,26.1100,26.1100,26.1100,0
2011-02-24,26.1100,26.1100,26.1100,26.1100,0
2011-02-23,36.0000,36.0000,36.0000,36.0000,0
2011-02-22,36.0000,36.0000,36.0000,36.0000,0
2011-02-18,26.1100,26.1100,26.1100,26.1100,0
2011-02-17,36.0000,36.0000,36.0000,36.0000,0
2011-02-16,36.0000,36.0000,36.0000,36.0000,0
2011-02-15,36.0000,36.0000,36.0000,36.0000,0
2011-02-14,36.0000,36.0000,36.0000,36.0000,0
2011-02-11,36.0000,36.0000,36.0000,36.0000,0
2011-02-10,26.1100,26.1100,26.1100,26.1100,0
2011-02-09,36.0000,36.0000,36.0000,36.0000,0
2011-02-08,36.0000,36.0000,36.0000,36.0000,0
2011-02-07,26.1100,26.1100,26.1100,26.1100,0
2011-02-04,36.0000,36.0000,36.0000,36.0000,0
2011-02-03,36.0000,36.0000,36.0000,36.0000,0
2011-02-02,36.0000,36.0000,36.0000,36.0000,0
2011-02-01,26.1100,26.1100,26.1100,26.1100,0
2011-01-31,36.0000,36.0000,36.0000,36.0000,0
2011-01-28,36.0000,36.0000,36.0000,36.0000,0
2011-01-27,36.0000,36.0000,36.0000,36.0000,0
2011-01-26,36.0000,36.0000,36.0000,36.0000,0
2011-01-25,26.1100,26.1100,26.1100,26.1100,0
2011-01-24,26.1100,26.1100,26.1100,26.1100,0
2011-01-21,26.1100,26.1100,26.1100,26.1100,0
2011-01-20,26.1100,26.1100,26.1100,26.1100,0
2011-01-19,36.0000,36.0000,36.0000,36.0000,0
2011-01-18,36.0000,36.0000,36.0000,36.0000,0
2011-01-14,26.1100,26.1100,26.1100,26.1100,0
2011-01-13,36.0000,36.0000,36.0000,36.0000,0
2011-01-12,36.0000,36.0000,36.0000,36.0000,0
2011-01-11,36.0000,36.0000,36.0000,36.0000,0
2011-01-10,36.0000,36.0000,36.0000,36.0000,0
2011-01-07,26.1100,26.1100,26.1100,26.1100,0
2011-01-06,26.1100,26.1100,26.1100,26.1100,0
2011-01-05,26.1100,26.1100,26.1100,26.1100,0
2011-01-04,36.0000,36.0000,36.0000,36.0000,0
2011-01-03,36.0000,36.0000,36.0000,36.0000,0
2010-12-31,36.0000,36.0000,36.0000,36.0000,0
2010-12-30,36.0000,36.0000,36.0000,36.0000,0
2010-12-29,36.0000,36.0000,36.0000,36.0000,0
2010-12-28,26.1100,26.1100,26.1100,26.1100,0
2010-12-27,36.0000,36.0000,36.0000,36.0000,0
2010-12-23,26.1100,26.1100,26.1100,26.1100,0
2010-12-22,36.0000,36.0000,36.0000,36.0000,0
2010-12-21,36.0000,36.0000,36.0000,36.0000,0
2010-12-20,36.0000,36.0000,36.0000,36.0000,0
2010-12-17,36.0000,36.0000,36.0000,36.0000,0
2010-12-16,36.0000,36.0000,36.0000,36.0000,0
2010-12-15,36.0000,36.0000,36.0000,36.0000,0
2010-12-14,36.0000,36.0000,36.0000,36.0000,0
2010-12-13,36.0000,36.0000,36.0000,36.0000,0
2010-12-10,36.0000,36.0000,36.0000,36.0000,0
2010-12-09,26.1100,26.1100,26.1100,26.1100,0
2010-12-08,26.1100,26.1100,26.1100,26.1100,0
2010-12-07,26.1100,26.1100,26.1100,26.1100,0
2010-12-06,26.1100,26.1100,26.1100,26.1100,0
2010-12-03,26.1100,26.1100,26.1100,26.1100,0
2010-12-02,36.0000,36.0000,36.0000,36.0000,0
2010-12-01,36.0000,36.0000,36.0000,36.0000,0
2010-11-30,26.1100,26.1100,26.1100,26.1100,0
2010-11-29,36.0000,36.0000,36.0000,36.0000,0
2010-11-26,26.1100,26.1100,26.1100,26.1100,0
2010-11-24,26.1100,26.1100,26.1100,26.1100,0
2010-11-23,36.0000,36.0000,36.0000,36.0000,0
2010-11-22,26.1100,26.1100,26.1100,26.1100,0
2010-11-19,36.0000,36.0000,36.0000,36.0000,0
2010-11-18,36.0000,36.0000,36.0000,36.0000,0
2010-11-17,26.1100,26.1100,26.1100,26.1100,0
2010-11-16,26.1100,26.1100,26.1100,26.1100,0
2010-11-15,36.0000,36.0000,36.0000,36.0000,0
2010-11-12,26.1100,26.1100,26.1100,26.1100,0
2010-11-11,36.0000,36.0000,36.0000,36.0000,0
2010-11-10,26.1100,26.1100,26.1100,26.1100,0
2010-11-09,36.0000,36.0000,36.0000,36.0000,0
2010-11-08,36.0000,36.0000,36.0000,36.0000,0
2010-11-05,36.0000,36.0000,36.0000,36.0000,0
2010-11-04,26.1100,26.1100,26.1100,26.1100,0
2010-11-03,26.1100,26.1100,26.1100,26.1100,0
2010-11-02,36.0000,36.0000,36.0000,36.0000,0
2010-11-01,26.1100,26.1100,26.1100,26.1100,0
2010-10-29,26.1100,26.1100,26.1100,26.1100,0
2010-10-28,26.1100,26.1100,26.1100,26.1100,0
2010-10-27,36.0000,36.0000,36.0000,36.0000,0
2010-10-26,26.1100,26.1100,26.1100,26.1100,0
2010-10-25,26.1100,26.1100,26.1100,26.1100,0
2010-10-22,26.1100,26.1100,26.1100,26.1100,0
2010-10-21,26.1100,26.1100,26.1100,26.1100,0
2010-10-20,36.0000,36.0000,36.0000,36.0000,0
2010-10-19,36.0000,36.0000,36.0000,36.0000,0
2010-10-18,26.1100,26.1100,26.1100,26.1100,0
2010-10-15,26.1100,26.1100,26.1100,26.1100,0
2010-10-14,26.1100,26.1100,26.1100,26.1100,0
2010-10-13,36.0000,36.0000,36.0000,36.0000,0
2010-10-12,36.0000,36.0000,36.0000,36.0000,0
2010-10-11,26.1100,26.1100,26.1100,26.1100,0
2010-10-08,36.0000,36.0000,36.0000,36.0000,0
2010-10-07,36.0000,36.0000,36.0000,36.0000,0
2010-10-06,26.1100,26.1100,26.1100,26.1100,0
2010-10-05,26.1100,26.1100,26.1100,26.1100,0
2010-10-04,26.1100,26.1100,26.1100,26.1100,0
2010-10-01,26.1100,26.1100,26.1100,26.1100,0
2010-09-30,36.0000,36.0000,36.0000,36.0000,0
2010-09-29,26.1100,26.1100,26.1100,26.1100,0
2010-09-28,26.1100,26.1100,26.1100,26.1100,0
2010-09-27,26.1100,26.1100,26.1100,26.1100,0
2010-09-24,36.0000,36.0000,36.0000,36.0000,0
2010-09-23,36.0000,36.0000,36.0000,36.0000,0
2010-09-22,26.1100,26.1100,26.1100,26.1100,0
2010-09-21,36.0000,36.0000,36.0000,36.0000,0
2010-09-20,36.0000,36.0000,36.0000,36.0000,0
2010-09-17,36.0000,36.0000,36.0000,36.0000,0
2010-09-16,26.1100,26.1100,26.1100,26.1100,0
2010-09-15,36.0000,36.0000,36.0000,36.0000,0
2010-09-14,26.1100,26.1100,26.1100,26.1100,0
2010-09-13,26.1100,26.1100,26.1100,26.1100,0
2010-09-10,26.1100,26.1100,26.1100,26.1100,0
2010-09-09,26.1100,26.1100,26.1100,26.1100,0
2010-09-08,36.0000,36.0000,36.0000,36.0000,0
2010-09-07,26.1100,26.1100,26.1100,26.1100,0
2010-09-03,26.1100,26.1100,26.1100,26.1100,0
2010-09-02,26.1100,26.1100,26.1100,26.1100,0
2010-09-01,36.0000,36.0000,36.0000,36.0000,0
2010-08-31,26.1100,26.1100,26.1100,26.1100,0
2010-08-30,36.0000,36.0000,36.0000,36.0000,0
2010-08-27,36.0000,36.0000,36.0000,36.0000,0
2010-08-26,36.0000,36.0000,36.0000,36.0000,0
2010-08-25,36.0000,36.0000,36.0000,36.0000,0
2010-08-24,36.0000,36.0000,36.0000,36.0000,0
2010-08-23,26.1100,26.1100,26.1100,26.1100,0
2010-08-20,26.1100,26.1100,26.1100,26.1100,0
2010-08-19,26.1100,26.1100,26.1100,26.1100,0
2010-08-18,36.0000,36.0000,36.0000,36.0000,0
2010-08-17,26.1100,26.1100,26.1100,26.1100,0
2010-08-16,26.1100,26.1100,26.1100,26.1100,0
2010-08-13,36.0000,36.0000,36.0000,36.0000,0
2010-08-12,36.0000,36.0000,36.0000,36.0000,0
2010-08-11,36.0000,36.0000,36.0000,36.0000,0
2010-08-10,36.0000,36.0000,36.0000,36.0000,0
2010-08-09,26.1100,26.1100,26.1100,26.1100,0
2010-08-06,36.0000,36.0000,36.0000,36.0000,0
2010-08-05,36.0000,36.0000,36.0000,36.0000,0
2010-08-04,26.1100,26.1100,26.1100,26.1100,0
2010-08-03,26.1100,26.1100,26.1100,26.1100,0
2010-08-02,26.1100,26.1100,26.1100,26.1100,0
2010-07-30,26.1100,26.1100,26.1100,26.1100,0
2010-07-29,36.0000,36.0000,36.0000,36.0000,0
2010-07-28,36.0000,36.0000,36.0000,36.0000,0
2010-07-27,26.1100,26.1100,26.1100,26.1100,0
2010-07-26,36.0000,36.0000,36.0000,36.0000,0
2010-07-23,36.0000,36.0000,36.0000,36.0000,0
2010-07-22,36.0000,36.0000,36.0000,36.0000,0
2010-07-21,26.1100,26.1100,26.1100,26.1100,0
2010-07-20,36.0000,36.0000,36.0000,36.0000,0
2010-07-19,26.1100,26.1100,26.1100,26.1100,0
2010-07-16,26.1100,26.1100,26.1100,26.1100,0
2010-07-15,36.0000,36.0000,36.0000,36.0000,0
2010-07-14,36.0000,36.0000,36.0000,36.0000,0
2010-07-13,36.0000,36.0000,36.0000,36.0000,0
2010-07-12,26.1100,26.1100,26.1100,26.1100,0
2010-07-09,36.0000,36.0000,36.0000,36.0000,0
2010-07-08,36.0000,36.0000,36.0000,36.0000,0
2010-07-07,26.1100,26.1100,26.1100,26.1100,0
2010-07-06,26.1100,26.1100,26.1100,26.1100,0
2010-07-02,36.0000,36.0000,36.0000,36.0000,0
2010-07-01,26.1100,26.1100,26.1100,26.1100,0
2010-06-30,26.1100,26.1100,26.1100,26.1100,0
2010-06-29,36.0000,36.0000,36.0000,36.0000,0
2010-06-28,26.1100,26.1100,26.1100,26.1100,0
2010-06-25,36.0000,36.0000,36.0000,36.0000,0
2010-06-24,26.1100,26.1100,26.1100,26.1100,0
2010-06-23,26.1100,26.1100,26.1100,26.1100,0
2010-06-22,36.0000,36.0000,36.0000,36.0000,0
2010-06-21,36.0000,36.0000,36.0000,36.0000,0
2010-06-18,26.1100,26.1100,26.1100,26.1100,0
2010-06-17,36.0000,36.0000,36.0000,36.0000,0
2010-06-16,36.0000,36.0000,36.0000,36.0000,0
2010-06-15,26.1100,26.1100,26.1100,26.1100,0
2010-06-14,36.0000,36.0000,36.0000,36.0000,0
2010-06-11,26.1100,26.1100,26.1100,26.1100,0
2010-06-10,26.1100,26.1100,26.1100,26.1100,0
2010-06-09,36.0000,36.0000,36.0000,36.0000,0
2010-06-08,36.0000,36.0000,36.0000,36.0000,0
2010-06-07,26.1100,26.1100,26.1100,26.1100,0
2010-06-04,36.0000,36.0000,36.0000,36.0000,0
2010-06-03,36.0000,36.0000,36.0000,36.0000,0
2010-06-02,26.1100,26.1100,26.1100,26.1100,0
2010-06-01,36.0000,36.0000,36.0000,36.0000,0
2010-05-28,26.1100,26.1100,26.1100,26.1100,0
2010-05-27,36.0000,36.0000,36.0000,36.0000,0
2010-05-26,36.0000,36.0000,36.0000,36.0000,0
2010-05-25,36.0000,36.0000,36.0000,36.0000,0
2010-05-24,26.1100,26.1100,26.1100,26.1100,0
2010-05-21,36.0000,36.0000,36.0000,36.0000,0
2010-05-20,26.1100,26.1100,26.1100,26.1100,0
2010-05-19,36.0000,36.0000,36.0000,36.0000,0
2010-05-18,36.0000,36.0000,36.0000,36.0000,0
2010-05-17,36.0000,36.0000,36.0000,36.0000,0
2010-05-14,26.1100,26.1100,26.1100,26.1100,0
2010-05-13,26.1100,26.1100,26.1100,26.1100,0
2010-05-12,26.1100,26.1100,26.1100,26.1100,0
2010-05-11,26.1100,26.1100,26.1100,26.1100,0
2010-05-10,36.0000,36.0000,36.0000,36.0000,0
2010-05-07,26.1100,26.1100,26.1100,26.1100,0
2010-05-06,26.1100,26.1100,26.1100,26.1100,0
2010-05-05,26.1100,26.1100,26.1100,26.1100,0
2010-05-04,36.0000,36.0000,36.0000,36.0000,0
2010-05-03,26.1100,26.1100,26.1100,26.1100,0
2010-04-30,26.1100,26.1100,26.1100,26.1100,0
2010-04-29,26.1100,26.1100,26.1100,26.1100,0
2010-04-28,36.0000,36.0000,36.0000,36.0000,0
2010-04-27,36.0000,36.0000,36.0000,36.0000,0
2010-04-26,36.0000,36.0000,36.0000,36.0000,0
2010-04-23,36.0000,36.0000,36.0000,36.0000,0
2010-04-22,26.1100,26.1100,26.1100,26.1100,0
2010-04-21,26.1100,26.1100,26.1100,26.1100,0
2010-04-20,26.1100,26.1100,26.1100,26.1100,0
2010-04-19,26.1100,26.1100,26.1100,26.1100,0
2010-04-16,36.0000,36.0000,36.0000,36.0000,0
2010-04-15,26.1100,26.1100,26.1100,26.1100,0
2010-04-14,36.0000,36.0000,36.0000,36.0000,0
2010-04-13,26.1100,26.1100,26.1100,26.1100,0
2010-04-12,26.1100,26.1100,26.1100,26.1100,0
2010-04-09,26.1100,26.1100,26.1100,26.1100,0
2010-04-08,26.1100,26.1100,26.1100,26.1100,0
2010-04-07,36.0000,36.0000,36.0000,36.0000,0
2010-04-06,36.0000,36.0000,36.0000,36.0000,0
2010-04-05,36.0000,36.0000,36.0000,36.0000,0
2010-04-01,26.1100,26.1100,26.1100,26.1100,0
2010-03-31,26.1100,26.1100,26.1100,26.1100,0
2010-03-30,26.1100,26.1100,26.1100,26.1100,0
2010-03-29,36.0000,36.0000,36.0000,36.0000,0
2010-03-26,36.0000,36.0000,36.0000,36.0000,0
2010-03-25,36.0000,36.0000,36.0000,36.0000,0
2010-03-24,26.1100,26.1100,26.1100,26.1100,0
2010-03-23,26.1100,26.1100,26.1100,26.1100,0
2010-03-22,26.1100,26.1100,26.1100,26.1100,0
2010-03-19,36.0000,36.0000,36.0000,36.0000,0
2010-03-18,36.0000,36.0000,36.0000,36.0000,0
2010-03-17,36.0000,36.0000,36.0000,36.0000,0
2010-03-16,36.0000,36.0000,36.0000,36.0000,0
2010-03-15,36.0000,36.0000,36.0000,36.0000,0
2010-03-12,36.0000,36.0000,36.0000,36.0000,0
2010-03-11,26.1100,26.1100,26.1100,26.1100,0
2010-03-10,36.0000,36.0000,36.0000,36.0000,0
2010-03-09,26.1100,26.1100,26.1100,26.1100,0
2010-03-08,36.0000,36.0000,36.0000,36.0000,0
2010-03-05,26.1100,26.1100,26.1100,26.1100,0
2010-03-04,26.1100,26.1100,26.1100,26.1100,0
2010-03-03,36.0000,36.0000,36.0000,36.0000,0
2010-03-02,36.0000,36.0000,36.0000,36.0000,0
2010-03-01,36.0000,36.0000,36.0000,36.0000,0
2010-02-26,36.0000,36.0000,36.0000,36.0000,0
2010-02-25,26.1100,26.1100,26.1100,26.1100,0
2010-02-24,36.0000,36.0000,36.0000,36.0000,0
2010-02-23,26.1100,26.1100,26.1100,26.1100,0
2010-02-22,36.0000,36.0000,36.0000,36.0000,0
2010-02-19,26.1100,26.1100,26.1100,26.1100,0
2010-02-18,36.0000,36.0000,36.0000,36.0000,0
2010-02-17,26.1100,26.1100,26.1100,26.1100,0
2010-02-16,26.1100,26.1100,26.1100,26.1100,0
2010-02-12,26.1100,26.1100,26.1100,26.1100,0
2010-02-11,26.1100,26.1100,26.1100,26.1100,0
2010-02-10,26.1100,26.1100,26.1100,26.1100,0
2010-02-09,26.1100,26.1100,26.1100,26.1100,0
2010-02-08,26.1100,26.1100,26.1100,26.1100,0
2010-02-05,36.0000,36.0000,36.0000,36.0000,0
2010-02-04,26.1100,26.1100,26.1100,26.1100,0
2010-02-03,26.1100,26.1100,26.1100,26.1100,0
2010-02-02,26.1100,26.1100,26.1100,26.1100,0
2010-02-01,26.1100,26.1100,26.1100,26.1100,0
2010-01-29,36.0000,36.0000,36.0000,36.0000,0
2010-01-28,36.0000,36.0000,36.0000,36.0000,0
2010-01-27,26.1100,26.1100,26.1100,26.1100,0
2010-01-26,36.0000,36.0000,36.0000,36.0000,0
2010-01-25,26.1100,26.1100,26.1100,26.1100,0
2010-01-22,36.0000,36.0000,36.0000,36.0000,0
2010-01-21,26.1100,26.1100,26.1100,26.1100,0
2010-01-20,26.1100,26.1100,26.1100,26.1100,0
2010-01-19,26.1100,26.1100,26.1100,26.1100,0
